item_id,item_name,img,major_id,mid_id
,たんけんふく,img\item\topps\topps(53).png,2,44
,ちどりのカーディガン,img\item\topps\topps(54).png,2,44
,つつましいニット,img\item\topps\topps(55).png,2,44
,つりジャケット,img\item\topps\topps(56).png,2,44
,てづくりのマント,img\item\topps\topps(57).png,2,44
,とうじのセーター,img\item\topps\topps(58).png,2,44
,ぬいぐるみマフラーつきコート,img\item\topps\topps(59).png,2,44
,はくい,img\item\topps\topps(60).png,2,44
,はっぴ,img\item\topps\topps(61).png,2,44
,はながらのニット,img\item\topps\topps(62).png,2,44
,はながらのプリントキャミ,img\item\topps\topps(63).png,2,44
,はながらのＴシャツ,img\item\topps\topps(64).png,2,44
,ははのてあみセーター,img\item\topps\topps(65).png,2,44
,ははのてづくりエプロン,img\item\topps\topps(66).png,2,44
,はんそでセーラーふく,img\item\topps\topps(67).png,2,44
,はんそでチャイナふく,img\item\topps\topps(68).png,2,44
,はんそでボーダーＴシャツ,img\item\topps\topps(69).png,2,44
,はんそでワイシャツ,img\item\topps\topps(70).png,2,44
,はんてん,img\item\topps\topps(71).png,2,44
,ひよこがらＴシャツ,img\item\topps\topps(72).png,2,44
,へいたいのふく,img\item\topps\topps(73).png,2,44
,ほしがらタンクトップ,img\item\topps\topps(74).png,2,44
,まえむすびＴシャツ,img\item\topps\topps(75).png,2,44
,まえむすびＹシャツ,img\item\topps\topps(76).png,2,44
,みずたまレインコート,img\item\topps\topps(77).png,2,44
,みの,img\item\topps\topps(78).png,2,44
,めいさいMA-1,img\item\topps\topps(79).png,2,44
,めいさいなふく,img\item\topps\topps(80).png,2,44
,めいさいのＭＡ‐１,img\item\topps\topps(81).png,2,44
,めいたんていのふく,img\item\topps\topps(82).png,2,44
,もこもこナイトガウン,img\item\topps\topps(83).png,2,44
,ゆめかわなセーター,img\item\topps\topps(84).png,2,44
,アノラック,img\item\topps\topps(85).png,2,44
,アメフトシャツ,img\item\topps\topps(86).png,2,44
,アランカーディガン,img\item\topps\topps(87).png,2,44
,アランセーター,img\item\topps\topps(88).png,2,44
,アンニョンＴシャツ,img\item\topps\topps(89).png,2,44
,アーガイルのセーター,img\item\topps\topps(90).png,2,44
,アーガイルベスト,img\item\topps\topps(91).png,2,44
,アームプリントＴシャツ,img\item\topps\topps(92).png,2,44
,イヤフォンコーデ,img\item\topps\topps(93).png,2,44
,インセクトアロハ,img\item\topps\topps(94).png,2,44
,ウェスタンなふく,img\item\topps\topps(95).png,2,44
,エプロン,img\item\topps\topps(96).png,2,44
,エースのＴシャツ,img\item\topps\topps(97).png,2,44
,オイルスキンのジャケット,img\item\topps\topps(98).png,2,44
,オラＴシャツ,img\item\topps\topps(99).png,2,44
,オーバーストライプシャツ,img\item\topps\topps(100).png,2,44
,カウボーイシャツ,img\item\topps\topps(101).png,2,44
,カバーオール,img\item\topps\topps(102).png,2,44
,カフェのせいふく,img\item\topps\topps(103).png,2,44
,カメラつきワイシャツ,img\item\topps\topps(104).png,2,44
,カレッジカーディガン,img\item\topps\topps(105).png,2,44
,カンフーなふく,img\item\topps\topps(106).png,2,44
,カーディガン&シャツ,img\item\topps\topps(107).png,2,44
,ガウンコート,img\item\topps\topps(108).png,2,44
,キャリアなジャケット,img\item\topps\topps(109).png,2,44
,キャンパーのTシャツ,img\item\topps\topps(110).png,2,44
,キューバシャツ,img\item\topps\topps(111).png,2,44
,キルティングジャケット,img\item\topps\topps(112).png,2,44
,キルティングダウン,img\item\topps\topps(113).png,2,44
,ギザギザのＴシャツ,img\item\topps\topps(114).png,2,44
,ギンガムチェックのシャツ,img\item\topps\topps(115).png,2,44
,クリスマスセーター,img\item\topps\topps(116).png,2,44
,クルタ,img\item\topps\topps(117).png,2,44
,ケイトのカットソー,img\item\topps\topps(118).png,2,44
,ケイトのコート,img\item\topps\topps(119).png,2,44
,ケミカルデニムジャケット,img\item\topps\topps(120).png,2,44
,コックさんのふく,img\item\topps\topps(121).png,2,44
,コメディアンなふく,img\item\topps\topps(122).png,2,44
,コーチジャケット,img\item\topps\topps(123).png,2,44
,コーディガン,img\item\topps\topps(124).png,2,44
,ゴムエプロン,img\item\topps\topps(125).png,2,44
,ゴールドプリントＴシャツ,img\item\topps\topps(126).png,2,44
,サイクルジャージ,img\item\topps\topps(127).png,2,44
,サイケデリックシャツ,img\item\topps\topps(128).png,2,44
,サッカーのユニフォーム,img\item\topps\topps(129).png,2,44
,シンプルなトレーナー,img\item\topps\topps(130).png,2,44
,シンプルなニット,img\item\topps\topps(131).png,2,44
,シンプルなパーカー,img\item\topps\topps(132).png,2,44
,シンプルドットのＴシャツ,img\item\topps\topps(133).png,2,44
,シンプルフリルキャミソール,img\item\topps\topps(134).png,2,44
,ジャージ,img\item\topps\topps(135).png,2,44
,ジレコーデＴシャツ,img\item\topps\topps(136).png,2,44
,スキーウェア,img\item\topps\topps(137).png,2,44
,スキーダウンジャケット,img\item\topps\topps(138).png,2,44
,スタジャン,img\item\topps\topps(139).png,2,44
,スタッフのふく,img\item\topps\topps(140).png,2,44
,ステンカラーコート,img\item\topps\topps(141).png,2,44
,スノーセーター,img\item\topps\topps(142).png,2,44
,スパイダーなＴシャツ,img\item\topps\topps(143).png,2,44
,スペースパーカー,img\item\topps\topps(144).png,2,44
,スポーツジャージ,img\item\topps\topps(145).png,2,44
,スモック,img\item\topps\topps(146).png,2,44
,スリムニット,img\item\topps\topps(147).png,2,44
,スーツ,img\item\topps\topps(148).png,2,44
,セーラーシャツ,img\item\topps\topps(149).png,2,44
,タイダイＴシャツ,img\item\topps\topps(150).png,2,44
,タカのスカジャン,img\item\topps\topps(151).png,2,44
,タキシード,img\item\topps\topps(152).png,2,44
,タンクトップ,img\item\topps\topps(153).png,2,44
,タンクトップチュニック,img\item\topps\topps(154).png,2,44
,ダイナーなエプロン,img\item\topps\topps(155).png,2,44
,ダイナーのエプロン,img\item\topps\topps(156).png,2,44
,ダウンジャケット,img\item\topps\topps(157).png,2,44
,ダウンベスト,img\item\topps\topps(158).png,2,44
,ダッフルコート,img\item\topps\topps(159).png,2,44
,ダブレット,img\item\topps\topps(160).png,2,44
,ダメージニット,img\item\topps\topps(161).png,2,44
,ダンスジャージ,img\item\topps\topps(162).png,2,44
,チェスターコート,img\item\topps\topps(163).png,2,44
,チェックのチェスターコート,img\item\topps\topps(164).png,2,44
,チェックマフラーつきセーター,img\item\topps\topps(165).png,2,44
,チマヨベスト,img\item\topps\topps(166).png,2,44
,チャイナふく,img\item\topps\topps(167).png,2,44
,チャオＴシャツ,img\item\topps\topps(168).png,2,44
,チュニックシャツ,img\item\topps\topps(169).png,2,44
,チューブトップ,img\item\topps\topps(170).png,2,44
,チョッキつきワイシャツ,img\item\topps\topps(171).png,2,44
,ツイードジャケット,img\item\topps\topps(172).png,2,44
,ツイードベスト,img\item\topps\topps(173).png,2,44
,ツートンのエリつきシャツ,img\item\topps\topps(174).png,2,44
,テニスセーター,img\item\topps\topps(175).png,2,44
,テーラードジャケット,img\item\topps\topps(176).png,2,44
,デニムジャケット,img\item\topps\topps(177).png,2,44
,デンジャラスなタンクトップ,img\item\topps\topps(178).png,2,44
,トナカイセーター,img\item\topps\topps(179).png,2,44
,トラのスカジャン,img\item\topps\topps(180).png,2,44
,トレンチコート,img\item\topps\topps(181).png,2,44
,トレンディーなふく,img\item\topps\topps(182).png,2,44
,ドクロＴシャツ,img\item\topps\topps(183).png,2,44
,ドラゴンのスカジャン,img\item\topps\topps(184).png,2,44
,ドーリーシャツ,img\item\topps\topps(185).png,2,44
,ニーハオＴシャツ,img\item\topps\topps(186).png,2,44
,ネイティブニット,img\item\topps\topps(187).png,2,44
,ネクタイつきワイシャツ,img\item\topps\topps(188).png,2,44
,ネルシャツ,img\item\topps\topps(189).png,2,44
,ノルディックなカーディガン,img\item\topps\topps(190).png,2,44
,ノルディックなセーター,img\item\topps\topps(191).png,2,44
,ノーカラーコート,img\item\topps\topps(192).png,2,44
,ノーカラーシャツ,img\item\topps\topps(193).png,2,44
,ノースリーブえりつきシャツ,img\item\topps\topps(194).png,2,44
,ノースリーブのニット,img\item\topps\topps(195).png,2,44
,ノースリーブパーカー,img\item\topps\topps(196).png,2,44
,ハイセンスなセーター,img\item\topps\topps(197).png,2,44
,ハイＴシャツ,img\item\topps\topps(198).png,2,44
,ハデなカーディガン,img\item\topps\topps(199).png,2,44
,ハデなジャケット,img\item\topps\topps(200).png,2,44
,ハローＴシャツ,img\item\topps\topps(201).png,2,44
,ハートのエプロン,img\item\topps\topps(202).png,2,44
,ハートのセーター,img\item\topps\topps(203).png,2,44
,ハーローＴシャツ,img\item\topps\topps(204).png,2,44
,バイキングのふく,img\item\topps\topps(205).png,2,44
,バスケシャツ,img\item\topps\topps(206).png,2,44
,パインがらのアロハシャツ,img\item\topps\topps(207).png,2,44
,パインがらアロハシャツ,img\item\topps\topps(208).png,2,44
,パッチワークコート,img\item\topps\topps(209).png,2,44
,パーカーオンコート,img\item\topps\topps(210).png,2,44
,パーカーオンＴシャツ,img\item\topps\topps(211).png,2,44
,ヒッピーなふく,img\item\topps\topps(212).png,2,44
,ヒョウがらＴシャツ,img\item\topps\topps(213).png,2,44
,ビスチェキャミ,img\item\topps\topps(214).png,2,44
,ビブス,img\item\topps\topps(215).png,2,44
,ピーコート,img\item\topps\topps(216).png,2,44
,ファイアーなＴシャツ,img\item\topps\topps(217).png,2,44
,フィッシャーヘムト,img\item\topps\topps(218).png,2,44
,フィットネスタンクトップ,img\item\topps\topps(219).png,2,44
,フェイクアニマルコート,img\item\topps\topps(220).png,2,44
,フライトジャケット,img\item\topps\topps(221).png,2,44
,フラダンスなトップス,img\item\topps\topps(222).png,2,44
,フリルパフブラウス,img\item\topps\topps(223).png,2,44
,ブルドッグジャージ,img\item\topps\topps(224).png,2,44
,ブレザー,img\item\topps\topps(225).png,2,44
,ブロックチェックのパフスリーブ,img\item\topps\topps(226).png,2,44
,プリンスなふく,img\item\topps\topps(227).png,2,44
,プリヴェＴシャツ,img\item\topps\topps(228).png,2,44
,プルオーバーアウター,img\item\topps\topps(229).png,2,44
,ヘンリーネックなTシャツ,img\item\topps\topps(230).png,2,44
,ヘンリーネックＴシャツ,img\item\topps\topps(231).png,2,44
,ベストつきワイシャツ,img\item\topps\topps(232).png,2,44
,ベースボールシャツ,img\item\topps\topps(233).png,2,44
,ペザントブラウス,img\item\topps\topps(234).png,2,44
,ホーイＴシャツ,img\item\topps\topps(235).png,2,44
,ボアフリース,img\item\topps\topps(236).png,2,44
,ボアブルゾン,img\item\topps\topps(237).png,2,44
,ボアベスト,img\item\topps\topps(238).png,2,44
,ボウリングシャツ,img\item\topps\topps(239).png,2,44
,ボタニカルＴシャツ,img\item\topps\topps(240).png,2,44
,ボンジュールＴシャツ,img\item\topps\topps(241).png,2,44
,ボーダーのタンクトップ,img\item\topps\topps(242).png,2,44
,ボーダーＴシャツ,img\item\topps\topps(243).png,2,44
,ボーンなＴシャツ,img\item\topps\topps(244).png,2,44
,ポケットつきＴシャツ,img\item\topps\topps(245).png,2,44
,ポリネシアンなアロハ,img\item\topps\topps(246).png,2,44
,ポロシャツ,img\item\topps\topps(247).png,2,44
,ポンチョふうニット,img\item\topps\topps(248).png,2,44
,ポンチョコート,img\item\topps\topps(249).png,2,44
,ポンポンセーター,img\item\topps\topps(250).png,2,44
,マウンテンパーカー,img\item\topps\topps(251).png,2,44
,マッスルタンクトップ,img\item\topps\topps(252).png,2,44
,マドラスチェックシャツ,img\item\topps\topps(253).png,2,44
,マルチボーダーニット,img\item\topps\topps(254).png,2,44
,マーブルドットのＴシャツ,img\item\topps\topps(255).png,2,44
,ミュージックフェスなふく,img\item\topps\topps(256).png,2,44
,ミームなふく,img\item\topps\topps(257).png,2,44
,ムートンコート,img\item\topps\topps(258).png,2,44
,モッズコート,img\item\topps\topps(259).png,2,44
,モヘアふうニット,img\item\topps\topps(260).png,2,44
,モーニングコート,img\item\topps\topps(261).png,2,44
,ヤンチャながくせいふく,img\item\topps\topps(262).png,2,44
,ヨレヨレなシャツ,img\item\topps\topps(263).png,2,44
,ライダースジャケット,img\item\topps\topps(264).png,2,44
,ラガーシャツ,img\item\topps\topps(265).png,2,44
,ラグランＴシャツ,img\item\topps\topps(266).png,2,44
,ラメししゅうノースリーブ,img\item\topps\topps(267).png,2,44
,リボンショルダーキャミ,img\item\topps\topps(268).png,2,44
,レインコート,img\item\topps\topps(269).png,2,44
,レインボーなニット,img\item\topps\topps(270).png,2,44
,レザートレンチ,img\item\topps\topps(271).png,2,44
,レトロなコート,img\item\topps\topps(272).png,2,44
,レペゼンなふく,img\item\topps\topps(273).png,2,44
,レースのキャミソール,img\item\topps\topps(274).png,2,44
,レースのシャツ,img\item\topps\topps(275).png,2,44
,ワイシャツ,img\item\topps\topps(276).png,2,44
,ワークアウトトップス,img\item\topps\topps(277).png,2,44
,ワークエプロン,img\item\topps\topps(278).png,2,44
,ワークシャツ,img\item\topps\topps(279).png,2,44
,ヴァンパイアのふく,img\item\topps\topps(280).png,2,44
,１ばんだまのふく,img\item\topps\topps(281).png,2,44
,２ばんだまのふく,img\item\topps\topps(282).png,2,44
,３ばんだまのふく,img\item\topps\topps(283).png,2,44
,４ばんだまのふく,img\item\topps\topps(284).png,2,44
,５ばんだまのふく,img\item\topps\topps(285).png,2,44
,６ばんだまのふく,img\item\topps\topps(286).png,2,44
,７ばんだまのふく,img\item\topps\topps(287).png,2,44
,８ばんだまのふく,img\item\topps\topps(288).png,2,44
,９ばんだまのふく,img\item\topps\topps(289).png,2,44
,ＤＡＬのＭＡ‐１,img\item\topps\topps(290).png,2,44
,ＤＡＬのＴシャツ,img\item\topps\topps(291).png,2,44
,ＤＡＬエプロン,img\item\topps\topps(292).png,2,44
,ＭＡ‐１,img\item\topps\topps(293).png,2,44
,ＭＶＰなＴシャツ,img\item\topps\topps(294).png,2,44
,Ｖネックセーター,img\item\topps\topps(295).png,2,44
